ts;price;volume
946620000000000000;73.75;200.0
946879200000000000;75.3923;253.0
946965600000000000;77.0313;306.0
947052000000000000;75.9138;359.0
947138400000000000;77.5366;412.0
947224800000000000;79.1464;465.0
947484000000000000;77.9901;518.0
947570400000000000;79.5648;571.0
947656800000000000;81.1175;224.0
947743200000000000;79.8954;277.0
947829600000000000;81.3957;330.0
948175200000000000;80.116;383.0
948261600000000000;81.5538;436.0
948348000000000000;82.9569;489.0
948434400000000000;81.5732;542.0
948693600000000000;82.901;595.0
948780000000000000;84.1884;248.0
948866400000000000;82.6841;301.0
948952800000000000;83.8867;354.0
949039200000000000;85.0454;407.0
949298400000000000;83.4091;460.0
949384800000000000;84.4775;513.0
949471200000000000;82.75;566.0
949557600000000000;83.7266;219.0
949644000000000000;84.6575;272.0
949903200000000000;82.7929;325.0
949989600000000000;83.6335;378.0
950076000000000000;84.4301;431.0
950162400000000000;82.4337;484.0
950248800000000000;83.1455;537.0
950508000000000000;83.8171;590.0
950594400000000000;81.7001;243.0
950680800000000000;82.2963;296.0
950767200000000000;80.1079;349.0
950853600000000000;80.6371;402.0
951199200000000000;81.1362;455.0
951285600000000000;78.8579;508.0
951372000000000000;79.3048;561.0
951458400000000000;79.7298;214.0
951717600000000000;77.3857;267.0
951804000000000000;77.7757;320.0
951890400000000000;78.1527;373.0
951976800000000000;75.7701;426.0
952063200000000000;76.131;479.0
952322400000000000;73.7386;532.0
952408800000000000;74.0963;585.0
952495200000000000;74.4574;238.0
952581600000000000;72.075;291.0
952668000000000000;72.4525;344.0
952927200000000000;72.843;397.0
953013600000000000;70.4995;450.0
953100000000000000;70.9252;503.0
953186400000000000;71.3729;556.0
953272800000000000;69.0955;209.0
953532000000000000;69.5957;262.0
953618400000000000;67.376;315.0
953704800000000000;67.9388;368.0
953791200000000000;68.5363;421.0
953877600000000000;66.4206;474.0
954136800000000000;67.0936;527.0
954223200000000000;67.8069;580.0
954309600000000000;65.812;233.0
954396000000000000;66.6101;286.0
954482400000000000;67.4522;339.0
954741600000000000;65.5893;392.0
954828000000000000;66.5217;445.0
954914400000000000;64.75;498.0
955000800000000000;65.7742;551.0
955087200000000000;66.8441;204.0
955346400000000000;65.2095;257.0
955432800000000000;66.3697;310.0
955519200000000000;67.5739;363.0
955605600000000000;66.0711;416.0
955692000000000000;67.36;469.0
955951200000000000;68.6891;522.0
956037600000000000;67.3068;575.0
956124000000000000;68.7111;228.0
956210400000000000;67.4001;281.0
956556000000000000;68.8715;334.0
956642400000000000;70.3729;387.0
956728800000000000;69.1517;440.0
956815200000000000;70.7052;493.0
956901600000000000;72.2806;546.0
957160800000000000;71.1249;599.0
957247200000000000;72.7353;252.0
957333600000000000;74.3584;305.0
957420000000000000;73.2412;358.0
957506400000000000;74.8804;411.0
957765600000000000;73.7728;464.0
957852000000000000;75.415;517.0
957938400000000000;77.0539;570.0
958024800000000000;75.9361;223.0
958111200000000000;77.5584;276.0
958370400000000000;79.1677;329.0
958456800000000000;78.0108;382.0
958543200000000000;79.5848;435.0
958629600000000000;81.1366;488.0
958716000000000000;79.9136;541.0
958975200000000000;81.4129;594.0
959061600000000000;80.132;247.0
959148000000000000;81.5687;300.0
959234400000000000;82.9705;353.0
959320800000000000;81.5855;406.0
959666400000000000;82.9118;459.0
959752800000000000;84.1978;512.0
959839200000000000;82.692;565.0
959925600000000000;83.8931;218.0
960184800000000000;85.0502;271.0
960271200000000000;83.4123;324.0
960357600000000000;84.479;377.0
960444000000000000;82.75;430.0
960530400000000000;83.725;483.0
960789600000000000;84.6542;536.0
960876000000000000;82.7881;589.0
960962400000000000;83.6271;242.0
961048800000000000;84.4221;295.0
961135200000000000;82.4242;348.0
961394400000000000;83.1346;401.0
961480800000000000;83.8047;454.0
961567200000000000;81.6864;507.0
961653600000000000;82.2814;560.0
961740000000000000;80.0918;213.0
961999200000000000;80.6199;266.0
962085600000000000;81.118;319.0
962172000000000000;78.8388;372.0
962258400000000000;79.2848;425.0
962344800000000000;79.7091;478.0
962604000000000000;77.3644;531.0
962776800000000000;77.7538;584.0
962863200000000000;78.1305;237.0
962949600000000000;75.7475;290.0
963208800000000000;76.1083;343.0
963295200000000000;73.7159;396.0
963381600000000000;74.0736;449.0
963468000000000000;74.4349;502.0
963554400000000000;72.0528;555.0
963813600000000000;72.4307;208.0
963900000000000000;72.8216;261.0
963986400000000000;70.4788;314.0
964072800000000000;70.9052;367.0
964159200000000000;71.3538;420.0
964418400000000000;69.0774;473.0
964504800000000000;69.5785;526.0
964591200000000000;67.3599;579.0
964677600000000000;67.9239;232.0
964764000000000000;68.5227;285.0
965023200000000000;66.4084;338.0
965109600000000000;67.0827;391.0
965196000000000000;67.7975;444.0
965282400000000000;65.8041;497.0
965368800000000000;66.6037;550.0
965628000000000000;67.4475;203.0
965714400000000000;65.5861;256.0
965800800000000000;66.5202;309.0
965887200000000000;64.7501;362.0
965973600000000000;65.7759;415.0
966232800000000000;66.8474;468.0
966319200000000000;65.2144;521.0
966405600000000000;66.3762;574.0
966492000000000000;67.5819;227.0
966578400000000000;66.0806;280.0
966837600000000000;67.3709;333.0
966924000000000000;68.7015;386.0
967010400000000000;67.3205;439.0
967096800000000000;68.7261;492.0
967183200000000000;67.4163;545.0
967442400000000000;68.8888;598.0
967528800000000000;70.3911;251.0
967615200000000000;69.1708;304.0
967701600000000000;70.7252;357.0
967788000000000000;72.3013;410.0
968133600000000000;71.1463;463.0
968220000000000000;72.7571;516.0
968306400000000000;74.3807;569.0
968392800000000000;73.2637;222.0
968652000000000000;74.9031;275.0
968738400000000000;73.7955;328.0
968824800000000000;75.4377;381.0
968911200000000000;77.0764;434.0
968997600000000000;75.9583;487.0
969256800000000000;77.5802;540.0
969343200000000000;79.189;593.0
969429600000000000;78.0315;246.0
969516000000000000;79.6047;299.0
969602400000000000;81.1557;352.0
969861600000000000;79.9317;405.0
969948000000000000;81.43;458.0
970034400000000000;80.1481;511.0
970120800000000000;81.5835;564.0
970207200000000000;82.9841;217.0
970466400000000000;81.5977;270.0
970552800000000000;82.9227;323.0
970639200000000000;84.2072;376.0
970725600000000000;82.6999;429.0
970812000000000000;83.8994;482.0
971071200000000000;85.0549;535.0
971157600000000000;83.4155;588.0
971244000000000000;84.4806;241.0
971330400000000000;82.7499;294.0
971416800000000000;83.7233;347.0
971676000000000000;84.6509;400.0
971762400000000000;82.7831;453.0
971848800000000000;83.6206;506.0
971935200000000000;84.4141;559.0
972021600000000000;82.4146;212.0
972280800000000000;83.1236;265.0
972367200000000000;83.7923;318.0
972453600000000000;81.6727;371.0
972540000000000000;82.2664;424.0
972626400000000000;80.0756;477.0
972885600000000000;80.6026;530.0
972972000000000000;81.0997;583.0
973058400000000000;78.8195;236.0
973144800000000000;79.2648;289.0
973231200000000000;79.6883;342.0
973490400000000000;77.343;395.0
973576800000000000;77.7319;448.0
973663200000000000;78.1082;501.0
973749600000000000;75.725;554.0
973836000000000000;76.0855;207.0
974095200000000000;73.6931;260.0
974181600000000000;74.0509;313.0
974268000000000000;74.4124;366.0
974354400000000000;72.0306;419.0
974440800000000000;72.4089;472.0
974700000000000000;72.8004;525.0
974786400000000000;70.4582;578.0
974872800000000000;70.8853;231.0
975045600000000000;71.3347;284.0
975304800000000000;69.0592;337.0
975391200000000000;69.5614;390.0
975477600000000000;67.3439;443.0
975564000000000000;67.9091;496.0
975650400000000000;68.5092;549.0
975909600000000000;66.3962;202.0
975996000000000000;67.0719;255.0
976082400000000000;67.7881;308.0
976168800000000000;65.7962;361.0
976255200000000000;66.5974;414.0
976514400000000000;67.4427;467.0
976600800000000000;65.583;520.0
976687200000000000;66.5187;573.0
976773600000000000;64.7502;226.0
976860000000000000;65.7776;279.0
977119200000000000;66.8508;332.0
977205600000000000;65.2194;385.0
977292000000000000;66.3827;438.0
977378400000000000;67.59;491.0
977464800000000000;66.0902;544.0
977810400000000000;67.382;597.0
977896800000000000;68.7139;250.0
977983200000000000;67.3342;303.0
978069600000000000;68.7411;356.0
978415200000000000;67.4325;409.0
978501600000000000;68.9061;462.0
978588000000000000;70.4094;515.0
978674400000000000;69.1901;568.0
978933600000000000;70.7452;221.0
979020000000000000;72.3221;274.0
979106400000000000;71.1677;327.0
979192800000000000;72.779;380.0
979279200000000000;74.4029;433.0
979624800000000000;73.2863;486.0
979711200000000000;74.9258;539.0
979797600000000000;73.8183;592.0
979884000000000000;75.4604;245.0
980143200000000000;77.0989;298.0
980229600000000000;75.9805;351.0
980316000000000000;77.602;404.0
980402400000000000;79.2103;457.0
980488800000000000;78.0521;510.0
980748000000000000;79.6246;563.0
980834400000000000;81.1748;216.0
980920800000000000;79.9499;269.0
981007200000000000;81.4471;322.0
981093600000000000;80.1641;375.0
981352800000000000;81.5983;428.0
981439200000000000;82.9976;481.0
981525600000000000;81.6099;534.0
981612000000000000;82.9334;587.0
